school_name,link,address,category,rating,last_report_date,urn,is_religious
"Canary Wharf College, Glenworth",/provider/21/141039,"93 Saunders Ness Road, Isle of Dogs, London, E14 3EB",Primary,Outstanding,10 January 2024,141039,True
Millennium Primary School,/provider/21/143211,"50 John Harrison Way, Greenwich, London, SE10 0BG",Primary,,06 September 2016,143211,False
Marathon Science School,/provider/1/SC400622,"1-9 Evelyn Street, Surrey Quays, London, LONDON, SE8 5RQ",Boarding School,,16 March 2024,SC400622,False
Marathon Science School,/provider/27/135901,"1-9 Evelyn Street, Surrey Quays, London, SE8 5RQ",Independent School,Inadequate,25 April 2024,135901,False
Deptford Park Primary School,/provider/21/100678,"Evelyn Street, London, SE8 5RJ",Primary,Good,06 February 2023,100678,False
Christ Church Church of England Primary School,/provider/21/100165,"45 Commerell Street, Greenwich, London, SE10 0DZ",Primary,Good,14 January 2022,100165,True
St Joseph's Catholic Primary School,/provider/21/100169,"Commerell Street, Greenwich, London, SE10 9AN",Primary,Good,15 June 2023,100169,True
Twin Oaks Primary School,/provider/21/100712,"Scawen Road, London, SE8 5AE",Primary,Good,03 March 2022,100712,False
Meridian Primary School,/provider/21/100137,"Old Woolwich Road, Greenwich, London, SE10 9NY",Primary,Good,15 November 2022,100137,False
St Alfege with St Peter's Church of England Primary School,/provider/21/100174,"Creek Road, Greenwich, London, SE10 9RB",Primary,Good,01 February 2022,100174,True
Grinling Gibbons Primary School,/provider/21/100685,"Clyde Street, Deptford, London, SE8 5LW",Primary,Good,17 October 2022,100685,False
Thorntree Primary School,/provider/21/100142,"Thorntree Road, Charlton, London, SE7 8AE",Primary,Good,13 December 2021,100142,False
Woodhill Primary School,/provider/21/143594,"Woodhill, London, SE18 5JE",Primary,Good,08 May 2024,143594,False
Fossdene Primary School,/provider/21/100125,"Victoria Way, Charlton, London, SE7 7NQ",Primary,Good,21 September 2022,100125,False
Halstow Primary School,/provider/21/143597,"Halstow Road, Greenwich, London, SE10 0LD",Primary,Good,11 November 2021,143597,False
Our Lady of Grace Catholic Primary School,/provider/21/100168,"16 Highcombe, Charlton, London, SE7 7HR",Primary,Outstanding,16 May 2023,100168,True
Mulgrave Primary School,/provider/21/100163,"Rectory Place, Woolwich, London, SE18 5DL",Primary,Good,07 July 2023,100163,False
Sherington Primary School,/provider/21/100141,"Wyndcliff Road, Charlton, Wyndcliff Road, London, SE7 7JP",Primary,Good,28 November 2023,100141,False
Charlton Park Academy,/provider/10/SC044128,"Charlton Park Road, London, LONDON, SE7 8HX",Residential Special School,,27 April 2023,SC044128,False
