school_name,link,address,category,rating,last_report_date,urn,is_religious
Charterhouse Square School,/provider/27/100463,"33-40 Charterhouse Square, London, EC1M 6EA",Independent School,Outstanding,18 July 2012,100463,False
Prior Weston Primary School and Children's Centre,/provider/21/100434,"101 Whitecross Street, London, EC1Y 8JA",Primary,Good,20 October 2022,100434,False
"City of London Primary Academy, Islington",/provider/21/143020,"15 Baltic Street West, London, EC1Y 0AE",Primary,Outstanding,05 December 2019,143020,False
Dallington School,/provider/27/100462,"8 Dallington Street, London, Greater London, United Kingdom, EC1V 0BW",Independent School,Requires Improvement,06 December 2022,100462,False
St Peter and St Paul Catholic Primary School,/provider/21/100447,"Compton Street, Goswell Road, Islington, London, EC1V 0EU",Primary,Good,29 September 2023,100447,True
St Alban's Church of England Primary School,/provider/21/100036,"Baldwins Gardens, Holborn, London, EC1N 7SD",Primary,Good,13 May 2019,100036,True
City Junior School,/provider/27/149158,"City Junior School, 4 Gray's Inn Place, London, WC1R 5EY",Independent School,Good,27 November 2023,149158,False
St Luke's CofE Primary School,/provider/21/100443,"Radnor Street, London, EC1V 3SJ",Primary,Good,19 July 2023,100443,True
Christopher Hatton Primary School,/provider/21/130342,"38 Laystall Street, London, EC1R 4PQ",Primary,Outstanding,09 May 2022,130342,False
The Lyceum,/provider/27/131343,"59-65 Worship Street, Shoreditch, London, EC2A 2DU",Independent School,Good,19 January 2010,131343,False
Moreland Primary School,/provider/21/100415,"Moreland Street, London, EC1V 8BB",Primary,Good,28 May 2020,100415,False
Hugh Myddelton Primary School,/provider/21/131842,"Myddelton Street, London, EC1R 1YJ",Primary,Outstanding,18 March 2024,131842,False
St George the Martyr Church of England Primary School,/provider/21/100040,"John's Mews, London, WC1N 2NX",Primary,Outstanding,16 July 2024,100040,True
New Regent's College,/provider/22/134635,"Nile Street, London, N1 7RD",Pupil Referral Unit,Good,14 September 2021,134635,False
Children's Hospital School at Gt Ormond Street and UCH,/provider/25/100060,"Great Ormond Street, Camden, London, WC1N 3JH",Special School,Outstanding,23 January 2024,100060,False
St Clement Danes CofE Primary School,/provider/21/101127,"118 Drury Lane, Covent Garden, London, WC2B 5SU",Primary,Outstanding,24 June 2020,101127,True
The Aldgate School,/provider/21/100000,"St James's Passage, Duke's Place, London, EC3A 5DE",Primary,Outstanding,12 July 2024,100000,True
St Josephs Catholic Primary School,/provider/21/100041,"Macklin Street, Covent Garden, London, WC2B 5NA",Primary,Good,19 March 2024,100041,True
Hanover Primary School,/provider/21/100407,"Noel Road, Islington, London, N1 8BD",Primary,Good,07 July 2023,100407,False
The Cathedral School of St Saviour and St Mary Overie,/provider/21/100840,"Redcross Way, Southwark, London, SE1 1HG",Primary,Outstanding,31 January 2023,100840,True
St Monica's Roman Catholic Primary School,/provider/21/100268,"43 Hoxton Street, London, N1 6QN",Primary,Good,01 April 2022,100268,True
St John the Baptist Voluntary Aided Church of England Primary School,/provider/21/100266,"Crondall Street, London, N1 6JG",Primary,Outstanding,19 December 2023,100266,True
The Royal Ballet School,/provider/27/102947,"46 Floral Street, Covent Garden, London, WC2E 9DA",Independent School,,20 November 2014,102947,False
Thomas Fairchild Community School,/provider/21/100243,"Forston Street, Hoxton, London, N1 7HA",Primary,Good,14 November 2023,100243,False
"Saint Joseph's Catholic Primary School, the Borough",/provider/21/100834,"Little Dorrit Court, Redcross Way, London, SE1 1NJ",Primary,Good,27 November 2023,100834,True
St John Evangelist RC Primary School,/provider/21/100438,"Duncan Street, Islington High Street, London, N1 8BL",Primary,Good,10 June 2024,100438,True
The Gower School,/provider/27/134782,"10 Cynthia Street, Barnsbury, London, N1 9JF",Independent School,Good,25 March 2009,134782,False
Odyssey House School - Bloomsbury,/provider/27/149566,"45 Russell Square, London, WC1B 4JP",Independent School,,22 May 2023,149566,False
The Pears Family School,/provider/22/141130,"4-8 Rodney Street, London, N1 9JH",Pupil Referral Unit,Outstanding,15 December 2022,141130,False
The Complete Works,/provider/27/139601,"1st Floor, Universal House, 88-94 Wentworth St, London, E1 7SA",Independent School,Good,25 January 2023,139601,False
Charles Dickens Primary School,/provider/21/148012,"Toulmin Street, London, SE1 1AF",Primary,,08 July 2020,148012,False
Christ Church CofE School,/provider/21/100944,"47a Brick Lane, Spitalfields, London, E1 6PU",Primary,Good,27 April 2023,100944,True
Mulberry Canon Barnett Primary Academy,/provider/21/148769,"Gunthorpe Street, Aldgate, London, E1 7RQ",Primary,,06 June 2023,148769,False
Friars Primary Foundation School,/provider/21/100855,"Webber Street, Blackfriars, London, SE1 0RF",Primary,Good,25 March 2024,100855,False
Virginia Primary School,/provider/21/100926,"Virginia Road, Bethnal Green, London, E2 7NQ",Primary,Outstanding,08 December 2021,100926,False
Richard Cloudesley School,/provider/25/100467,"Tudor Rose Building, 1 Prebend Street, London, N1 8RE",Special School,Outstanding,23 November 2023,100467,False
London Christian School,/provider/27/135409,"40 Tabard Street, London, SE1 4JU",Independent School,,23 July 2010,135409,True
English Martyrs Roman Catholic Primary School,/provider/21/100962,"St Mark Street, Wapping, London, E1 8DJ",Primary,Good,06 May 2022,100962,True
Winton Primary School,/provider/21/100428,"Killick Street, Pentonville Road, London, N1 9AZ",Primary,Outstanding,08 July 2024,100428,False
Shoreditch Park Primary School,/provider/21/100245,"Bridport Place, London, N1 5JN",Primary,Outstanding,10 July 2024,100245,False
Beormund Primary School,/provider/25/100879,"Crosby Row, Long Lane, London, SE1 3PS",Special School,Good,27 April 2023,100879,False
Brick Lane School,/provider/27/149018,"Bacon Street, Tower Hamlets, E2 6DY",Independent School,Good,18 September 2023,149018,False
Argyle Primary School,/provider/21/100008,"Tonbridge Street, London, WC1H 9EG",Primary,Good,18 November 2022,100008,False
Oasis Academy Johanna,/provider/21/137430,"Johanna Street, Lower Marsh, London, SE1 7RH",Primary,Good,26 March 2019,137430,False
Ecole Jeannine Manuel,/provider/27/142408,"43-45 Bedford Square, Bloomsbury, London, WC1B 3DN",Independent School,Good,31 January 2017,142408,False
New River College Medical,/provider/22/134274,"Maygood Street, London, N1 0TJ",Pupil Referral Unit,Outstanding,24 September 2021,134274,False
Snowsfields Primary School,/provider/21/100811,"Kirby Grove, London, SE1 3TD",Primary,Good,15 September 2023,100811,False
Hoxton Garden Primary,/provider/21/131141,"Ivy Street, Hackney, London, N1 5JD",Primary,Good,28 January 2020,131141,False
Hackney New Primary School,/provider/21/142112,"2 Downham Road, London, N1 5FR",Primary,Outstanding,22 June 2018,142112,False
New River College Primary,/provider/22/100388,"Cloudesley Square, London, N1 0HN",Pupil Referral Unit,Good,19 September 2023,100388,False
The New North Academy,/provider/21/137393,"32 Popham Road, Islington, London, N1 8SJ",Primary,Good,06 December 2021,137393,False
Al-Mizan School,/provider/27/133646,"46 Whitechapel Road, London, E1 1JX",Independent School,Good,04 July 2024,133646,False
London East Academy,/provider/27/134810,"46 Whitechapel Road, Whitechapel, London, E1 1JX",Independent School,Good,24 June 2024,134810,False
St Anne's and Guardian Angels Catholic Primary School,/provider/21/100950,"Underwood Road, Whitechapel, London, E1 5AW",Primary,Good,10 March 2020,100950,True
The Bridge Integrated Learning Space,/provider/25/141605,"1 Dowrey Street, London, N1 0HY",Special School,Outstanding,22 May 2023,141605,False
Harry Gosling Primary School,/provider/21/131737,"Fairclough Street, London, E1 1NT",Primary,Good,23 March 2023,131737,False
Date Palm Primary,/provider/27/139221,"80-82 Greenfield Road, London, London, E1 1EJ",Independent School,Good,20 May 2022,139221,False
Rotherfield Primary School,/provider/21/131740,"Rotherfield Street, Islington, London, N1 3EE",Primary,Good,15 June 2023,131740,False
St George's Cathedral Catholic Primary School,/provider/21/100828,"28 Lambeth Road, London, SE1 6HR",Primary,Good,04 July 2024,100828,True
Rosemary Works School,/provider/27/132791,"1 Branch Place, London, N1 5PH",Independent School,Good,09 December 2010,132791,False
William Davis Primary School,/provider/21/100943,"Wood Close, Cheshire Street, London, E2 6ET",Primary,Good,24 November 2020,100943,False
St Mary's CofE Primary School,/provider/21/100446,"Fowler Road, Islington, London, N1 2EP",Primary,Good,17 May 2023,100446,True
Vittoria Primary School,/provider/21/100426,"Treaty Street, London, N1 0WF",Primary,Good,08 December 2021,100426,False
Randal Cremer Primary School,/provider/21/100236,"Ormsby Street, Shoreditch, Randal Cremer Primary School, Ormsby Street, London, E2 8JG",Primary,Good,03 June 2020,100236,False
Osmani Primary School,/provider/21/100934,"Vallance Road, Whitechapel, London, E1 5AD",Primary,Good,09 February 2022,100934,False
Thomas Buxton Primary School,/provider/21/100930,"Buxton Street, Bethnal Green, Thomas Buxton Primary School, London, E1 5AR",Primary,Outstanding,25 May 2023,100930,False
Tower Bridge Primary School,/provider/21/100813,"Fair Street, London, SE1 2AE",Primary,Good,20 November 2019,100813,False
Columbia Primary School,/provider/21/100897,"Columbia Road, Bethnal Green, London, Avon, E2 7RG",Primary,Good,25 September 2023,100897,False
St Jude's Church of England Primary School,/provider/21/100835,"Colnbrook Street, London, SE1 6HA",Primary,Good,20 January 2022,100835,True
Kobi Nazrul Primary School,/provider/21/100940,"Settles Street, Whitechapel, Kobi Nazrul Primary School, London, E1 1JP",Primary,Good,09 January 2020,100940,False
Blessed Sacrament RC Primary School,/provider/21/100451,"Boadicea Street, Kings Cross, London, N1 0UF",Primary,Good,09 November 2018,100451,True
St Andrew's (Barnsbury) Church of England Primary School,/provider/21/100448,"Matilda Street, Islington, London, N1 0LB",Primary,Good,12 May 2022,100448,True
St Paul's Whitechapel Church of England Primary School,/provider/21/100959,"Wellclose Square, Stepney, London, E1 8HY",Primary,Outstanding,06 June 2013,100959,True
Madani Secondary Girls' School,/provider/27/100982,"Myrdle Street, London, E1 1HL",Independent School,Good,03 March 2023,100982,False
Soho Parish CofE Primary School,/provider/21/101131,"23 Great Windmill Street, London, W1D 7LF",Primary,Good,28 June 2024,101131,True
Thornhill Primary School,/provider/21/100425,"Thornhill Road, Islington, London, N1 1HX",Primary,Good,10 February 2023,100425,False
Ark Globe Academy,/provider/28/135584,"Harper Road, London, SE1 6AG",Other schools,Good,07 March 2022,135584,False
Charlotte Sharman Primary School,/provider/21/100816,"St George's Road, West Square, London, SE11 4SN",Primary,Good,18 July 2022,100816,False
Buttercup Primary School,/provider/27/138564,"181 Cannon Street Road, London, E1 2LX",Independent School,Inadequate,05 September 2018,138564,False
Evelina Hospital School,/provider/25/100875,"Westminster Bridge Road, St Thomas' Hospital, London, SE1 7EH",Special School,Outstanding,01 August 2022,100875,False
Daffodil Preparatory School,/provider/27/149148,"161 - 163 Commercial Road, Tower Hamlets, London, E1 2DA",Independent School,,26 January 2024,149148,False
Edith Neville Primary School,/provider/21/100013,"85 Polygon Road, London, NW1 1HQ",Primary,Outstanding,01 August 2023,100013,False
William Tyndale Primary School,/provider/21/137566,"Upper Street, London, Middlesex, N1 2GG",Primary,Outstanding,12 November 2020,137566,False
All Souls CofE Primary School,/provider/21/101121,"Foley Street, London, W1W 7JJ",Primary,Good,07 November 2019,101121,True
Imperial Oak Preparatory School,/provider/27/149904,"134a New Kent Road, London, SE1 6TU",Independent School,,15 September 2023,149904,False
Lawdale Junior School,/provider/21/100907,"Mansford Street, Bethnal Green, London, E2 6LS",Primary,Good,08 March 2023,100907,False
Elizabeth Selby Infants' School,/provider/21/100908,"Old Bethnal Green Road, Bethnal Green, London, E2 6PP",Primary,Good,25 May 2023,100908,False
Stewart Headlam Primary School,/provider/21/100923,"Tapp Street, Stepney, London, E1 5RE",Primary,Outstanding,20 September 2023,100923,False
Grange Primary School,/provider/21/100791,"Webb Street, London, SE1 4RP",Primary,Requires Improvement,17 October 2022,100791,False
Hermitage Primary School,/provider/21/100936,"Vaughan Way, London, E1W 2PT",Primary,Requires Improvement,29 June 2023,100936,False
St Mary and St Pancras Church of England Primary School,/provider/21/100043,"81 Werrington Street, London, NW1 1QP",Primary,Good,09 May 2019,100043,True
Frank Barnes School for Deaf Children,/provider/25/100091,"4 Wollstonecraft Street, Kings Cross, London, N1C 4BT",Special School,Outstanding,28 June 2023,100091,False
Kings Cross Academy,/provider/21/140686,"Plimsoll Building, 4 Wollstonecraft Street, London, N1C 4BT",Primary,Good,29 September 2023,140686,False
Victory Primary School,/provider/21/100815,"Elba Place, Rodney Road, London, SE17 1PT",Primary,Good,03 July 2023,100815,False
Hague Primary School,/provider/21/100903,"Wilmot Street, London, E2 0BP",Primary,Good,02 December 2022,100903,False
Sebright School,/provider/21/100240,"Audrey Street, Goldsmiths Row, London, E2 8QH",Primary,Outstanding,14 June 2019,100240,False
Bigland Green Primary School,/provider/21/100939,"Bigland Street, Wapping, London, E1 2ND",Primary,Outstanding,03 May 2024,100939,False
Jamiatul Ummah School,/provider/27/131388,"56 Bigland Street, Shadwell, London, E1 2ND",Independent School,Good,29 April 2022,131388,False
Walnut Tree Walk Primary School,/provider/21/100589,"Walnut Tree Walk, London, SE11 6DS",Primary,Good,13 May 2024,100589,False
North Bridge House Senior Canonbury School,/provider/27/141250,"6-9 Canonbury Place, Islington, London, N1 2NQ",Independent School,Outstanding,15 June 2015,141250,False
Laycock Primary School,/provider/21/100411,"Laycock Street, Upper Street, London, N1 1SW",Primary,Good,12 May 2023,100411,False
Canonbury Primary School,/provider/21/131773,"Canonbury Road, London, N1 2UT",Primary,Good,06 December 2022,131773,False
Abacus Belsize Primary School,/provider/21/139837,"Jubilee Waterside Centre, 105 Camley Street, London, N1C 4PF",Primary,Outstanding,22 May 2020,139837,False
Queensbridge Primary School,/provider/21/100235,"Queensbridge Road, Haggerston, Hackney, London, E8 4ET",Primary,Outstanding,29 February 2024,100235,False
Camden Primary Pupil Referral Unit,/provider/22/100007,"Robson House, Netley Campus, 74 Stanhope Street, London, NW1 3EX",Pupil Referral Unit,Good,09 November 2023,100007,False
Netley Primary School & Centre for Autism,/provider/21/100018,"74 Stanhope Street, Camden, London, NW1 3EX",Primary,Good,13 June 2024,100018,False
London Scandinavian School,/provider/27/139973,"3 Highbury Crescent, London, N5 1RN",Independent School,Requires Improvement,22 May 2014,139973,False
Academy21,/provider/100003/150163,"3 Burlington Gardens, London, W1S 3EP",Online education provider,,14 March 2024,150163,False
Eifa International School,/provider/27/139239,"36 PORTLAND PLACE, MARYLEBONE, LONDON, W1B 1LS",Independent School,Good,04 July 2024,139239,False
Southbank International School Westminster,/provider/27/143530,"63-65 Portland Place, London, W1B 1QR",Independent School,Outstanding,07 June 2017,143530,False
Richard Cobden Primary School,/provider/21/100022,"Camden Street, London, NW1 0LL",Primary,Outstanding,26 November 2019,100022,False
Christ Church School,/provider/21/100029,"Redhill Street, Camden, London, NW1 4BD",Primary,Good,24 May 2022,100029,True
Wetherby Senior School,/provider/27/142336,"100 Marylebone Lane, Marylebone, Westminster, London, W1U 2QU",Independent School,Good,23 May 2016,142336,False
Our Lady Roman Catholic Primary School,/provider/21/100048,"Pratt Street, Camden, London, NW1 0DP",Primary,Outstanding,16 June 2023,100048,True
"St Matthew's School, Westminster",/provider/21/101138,"18 Old Pye Street, Westminster, London, SW1P 2DG",Primary,Good,27 September 2023,101138,True
Robert Blair School and Children's Centre,/provider/21/100422,"Brewery Road, Islington, London, N7 9QJ",Primary,Good,10 June 2019,100422,False
Eaton Square Senior School,/provider/27/144795,"106 Piccadilly, London, W1J 7NL",Independent School,Good,02 July 2018,144795.0,False
Burdett-Coutts and Townshend Foundation CofE Primary School,/provider/21/101122,"Rochester Street, London, SW1P 2QQ",Primary,Good,22 May 2024,101122.0,True
St Vincent De Paul Catholic Primary School,/provider/21/101144,"Morpeth Terrace, London, SW1P 1EP",Primary,Good,15 January 2020,101144.0,True
St George's Hanover Square CofE Primary School,/provider/21/101130,"South Street, London, W1K 2XH",Primary,Good,22 January 2024,101130.0,True
Millbank Academy,/provider/21/138683,"Millbank Academy, Erasmus Street, London, SW1P 4HR",Primary,Outstanding,17 June 2013,138683.0,False
St Peter's Eaton Square CofE Primary School,/provider/21/101140,"Lower Belgrave Street, London, SW1W 0NL",Primary,Requires Improvement,25 January 2023,101140.0,True
Vanguard School,/provider/25/142928,"Lollard Street, Kennington, London, SE11 6QH",Special School,Requires Improvement,27 January 2023,142928.0,False
Vauxhall Primary School,/provider/21/100588,"Vauxhall Street, London, SE11 5LG",Primary,Good,19 January 2024,100588.0,False
Archbishop Sumner Church of England Primary School,/provider/21/100609,"Reedworth Street, Lambeth, Kennington, London, SE11 4PH",Primary,Outstanding,13 January 2015,100609.0,True
St Vincent's Catholic Primary School,/provider/21/101143,"St Vincent Street, London, W1U 4DF",Primary,Outstanding,05 February 2024,101143.0,True
"Octavia House Schools, London",/provider/27/138803,"214b Kennington Road, London, SE11 6AU",Independent School,Outstanding,29 November 2022,138803.0,False
Pimlico Primary,/provider/21/139898,"Lupus Street, Westminster, London, SW1V 3AT",Primary,Outstanding,03 September 2015,139898.0,False
Churchill Gardens Primary Academy,/provider/21/139940,"Ranelagh Road, Pimlico, London, SW1V 3EU",Primary,Good,30 September 2023,139940.0,False
Eaton House School,/provider/27/101160,"3-5 Eaton Gate, London, London, SW1W 9BA",Independent School,Good,21 March 2018,101160.0,False
St Barnabas' CofE Primary School,/provider/21/101126,"St Barnabas Street, Pimlico, London, SW1W 8PF",Primary,Good,03 May 2023,101126.0,True
Hill House School,/provider/27/100518,"Hans Place, Knightsbridge, London, SW1X 0EP",Independent School,Good,05 October 2022,100518.0,False
St Anne's Catholic Primary School,/provider/21/100629,"6 Durham Street, London, SE11 5JA",Primary,Requires Improvement,04 September 2023,100629.0,True
St Gabriel's CofE Primary School,/provider/21/101129,"Churchill Gardens Road, London, SW1V 3AG",Primary,Good,21 December 2023,101129.0,True
Holy Trinity CofE Primary School,/provider/21/100490,"Sedding Street, Sloane Square, London, SW1X 9DE",Primary,Good,16 June 2023,100490.0,True
Halcyon London International School,/provider/27/139415,"33 Seymour Place, London, W1H 5AU",Independent School,Outstanding,28 May 2020,139415.0,False
Wetherby Preparatory School,/provider/27/134822,"48 Bryanston Square, London, W1H 2EA",Independent School,,09 December 2008,134822.0,False
St Mark's Church of England Primary School,/provider/21/100619,"Harleyford Road, Kennington, London, SE11 5SL",Primary,Good,15 October 2019,100619.0,True
Connaught House School,/provider/27/101164,"47 Connaught Square, Westminster, London, W2 2HL",Independent School,Good,19 April 2018,101164.0,False
Crampton Primary,/provider/21/100784,"Iliffe Street, Walworth, London, SE17 3LE",Primary,Outstanding,20 May 2024,100784.0,False
ICS London,/provider/27/101171,"7b Wyndham Place, Marylebone, London, W1H 1PN",Independent School,Inadequate,04 January 2017,101171.0,False
Henry Fawcett Primary School,/provider/21/131874,"Bowling Green Street, London, SE11 5BZ",Primary,Outstanding,16 June 2023,131874.0,False
Hampden Gurney CofE Primary School,/provider/21/101123,"13 Nutford Place, London, W1H 5HA",Primary,Good,06 July 2023,101123.0,True
St Mary's Bryanston Square CofE School,/provider/21/101136,"Enford Street, London, W1H 1DL",Primary,Good,03 July 2023,101136.0,True
Keyworth Primary School,/provider/21/100800,"Keyworth Primary School, Faunce Street, London, Surrey, SE17 3TR",Primary,Good,09 November 2023,100800.0,False
"Wyvil Primary School and Resource Bases for Speech, Language and Communication Needs, and Autism",/provider/21/100591,"Wyvil Road, London, SW8 2TJ",Primary,Good,11 July 2024,100591.0,False
St Joseph's Catholic Primary School,/provider/21/148438,"Cadogan Street, London, SW3 2QT",Primary,Outstanding,13 June 2024,148438.0,True
Ashmole Primary School,/provider/21/100556,"Ashmole Street, London, SW8 1NT",Primary,,26 September 2023,100556.0,False
St Paul's Church of England Primary School,/provider/21/146669,"Penrose Street, Walworth, London, SE17 3DT",Primary,Good,26 September 2023,146669.0,True
St Stephen's Church of England Primary School,/provider/21/100621,"Dorset Road, London, SW8 1EJ",Primary,Good,11 June 2019,100621.0,True
Sophia High School,/provider/100003/149905,"Circus Road South, London, SW11 8BZ",Online education provider,,02 November 2023,149905.0,False
Evolve Academy,/provider/22/149450,"20 Kennington Park Gardens, London, SE11 4AX",Pupil Referral Unit,,,,False
Marlborough Primary School,/provider/21/100483,"Draycott Avenue, London, SW3 3AP",Primary,Good,26 March 2019,100483.0,False
Christ Church Bentinck CofE Primary School,/provider/21/101147,"Cosway Street, Marylebone, London, NW1 5NS",Primary,Outstanding,28 June 2024,101147.0,True
Robert Browning Primary School,/provider/21/100809,"King and Queen Street, Walworth, London, SE17 1DQ",Primary,Good,17 November 2021,100809.0,False
Herbert Morrison Primary School,/provider/21/100604,"Hartington Road, London, SW8 2HP",Primary,Outstanding,03 July 2023,100604.0,False
St Edward's Catholic Primary School,/provider/21/101128,"Lisson Grove, London, NW1 6LH",Primary,Good,27 April 2023,101128.0,True
Brighton College Prep Kensington,/provider/27/100543,"10-13 Princes Gardens, SW7 1ND",Independent School,Good,17 January 2011,100543.0,False
Ark King Solomon Academy,/provider/28/135242,"Penfold Street, London, NW1 6RX",Other schools,Outstanding,05 February 2024,135242.0,False
English Martyrs' Roman Catholic Primary School,/provider/21/100824,"Flint Street, London, SE17 1RB",Primary,Good,14 May 2020,100824.0,True
St Peter's Church of England Primary School,/provider/21/100839,"Liverpool Grove, Walworth, London, SE17 2HH",Primary,Good,25 May 2023,100839.0,True
St Mary Magdalene Academy,/provider/28/134314,"Liverpool Road, Islington, London, N7 8PG",Other schools,Outstanding,19 September 2023,134314,True
New River College Secondary,/provider/22/100391,"Lough Road, London, N7 8RH",Pupil Referral Unit,Good,25 June 2024,100391,False
St Paul's Steiner School,/provider/27/131362,"1 St Paul's Road, Islington, London, N1 2QH",Independent School,Good,08 May 2019,131362,True
Samuel Rhodes MLD School,/provider/25/100469,"11 Highbury New Park, Islington, London, N5 2EG",Special School,Outstanding,15 July 2022,100469,False
Sacred Heart Catholic Primary School,/provider/21/100437,"68 Georges Road, Holloway, London, N7 8JN",Primary,Good,09 December 2022,100437,True
Brecknock Primary School,/provider/21/100010,"Cliff Villas, Camden, London, NW1 9AL",Primary,Good,24 May 2023,100010,False
Our Lady and St Joseph Catholic Primary School,/provider/21/100264,"Buckingham Road, Hackney, London, N1 4JB",Primary,Outstanding,22 November 2023,100264,True
St. Paul's With St. Michael's CofE Primary School,/provider/21/100269,"57a Brougham Rd, Hackney, E8 4PB",Primary,Outstanding,10 May 2023,100269,True
The Children's House School,/provider/27/130243,"King Henry's Walk, Islington, London, N1 4PB",Independent School,Good,11 February 2019,130243,False
De Beauvoir Primary School,/provider/21/100224,"Beechwood Road, London, E8 3DY",Primary,Good,03 March 2022,100224,False
Holy Trinity Church of England Primary School,/provider/21/100263,"Beechwood Road, London, E8 3DY",Primary,Good,24 June 2020,100263,True
St Jude and St Paul's CofE Primary School,/provider/21/100442,"10 Kingsbury Road, Islington, London, N1 4AZ",Primary,Good,10 June 2024,100442,True
London Fields Primary School,/provider/21/100230,"Westgate Street, Hackney, London, E8 3RL",Primary,Outstanding,11 February 2015,100230,False
Drayton Park Primary School,/provider/21/100402,"ARVON ROAD, HIGHBURY, LONDON, N5 1PJ",Primary,Good,17 December 2019,100402,False
Gayhurst Community School,/provider/21/130303,"Gayhurst Road, Hackney, London, E8 3EN",Primary,Outstanding,02 May 2023,130303,False
St John's Church of England Primary School,/provider/21/100953,"Peel Grove, Bethnal Green, London, E2 9LR",Primary,Good,18 January 2022,100953,True
Darul Hadis Latifiah,/provider/27/131745,"1 Cornwall Avenue, London, E2 0HW",Independent School,Good,15 May 2023,131745,False
London Islamic School,/provider/27/132797,"18-22 Damien Street, London, E1 2HX",Independent School,Good,15 July 2024,132797,False
Bangabandhu Primary School,/provider/21/100937,"Wessex Street, Bethnal Green, London, E2 0LB",Primary,Good,28 September 2023,100937,False
Stepney Park Primary School,/provider/21/100917,"Smithy Street, Stepney, London, E1 3BW",Primary,Good,27 June 2023,100917,False
John Scurr Primary School,/provider/21/100906,"Cephas Street, Stepney Green, London, E1 4AX",Primary,Good,25 May 2023,100906,False
Mowlem Primary School,/provider/21/100914,"Mowlem Street, Bishops Way, Bethnal Green, London, E2 9HE",Primary,Outstanding,14 March 2024,100914,False
Globe Primary School,/provider/21/100902,"Gawber Street, Bethnal Green, London, E2 0JH",Primary,Outstanding,18 March 2024,100902,False
St Elizabeth Catholic Primary School,/provider/21/133288,"Bonner Road, Bethnal Green, London, E2 9JY",Primary,Good,06 May 2022,133288,True
St Mary and St Michael Primary School,/provider/21/131936,"Sutton Street, Stepney, London, E1 0BD",Primary,Good,03 July 2023,131936,True
Bonner Primary School,/provider/21/100891,"Stainsbury Street, Bethnal Green, London, E2 0NF",Primary,Good,22 November 2019,100891,False
London East Alternative Provision,/provider/22/100889,"21 Tollet Street, Stepney, London, E1 4EE",Pupil Referral Unit,Good,09 February 2018,100889,False
Blue Gate Fields Junior School,/provider/21/100895,"King David Lane, Wapping, London, E1 0EH",Primary,Good,23 May 2023,100895,False
Blue Gate Fields Infants' School,/provider/21/100915,"King David Lane, Stepney, London, E1 0EH",Primary,Good,02 July 2019,100915,False
Mazahirul Uloom London School,/provider/27/133307,"241-243 Mile End Road, Stepney, London, E1 4AA",Independent School,Good,28 November 2023,133307,False
St Peter's London Docks CofE Primary School,/provider/21/100960,"Garnet Street, ., London, E1W 3QT",Primary,Outstanding,07 May 2019,100960,True
Marion Richardson Primary School,/provider/21/100911,"Senrab Street, London, E1 0QF",Primary,Outstanding,08 May 2024,100911,False
Lauriston School,/provider/21/100229,"Rutland Road, London, E9 7JS",Primary,Good,26 September 2023,100229,False
St Joseph's Catholic Primary School,/provider/21/149346,"George Row, Bermondsey, London, SE16 4UP",Primary,,07 December 2022,149346,True
Riverside Primary School,/provider/21/100808,"Janeway Street, London, SE16 4PS",Primary,Good,20 March 2024,100808,False
St James' Church of England Primary School,/provider/21/100829,"Old Jamaica Road, Bermondsey, London, SE16 4SU",Primary,Good,04 March 2019,100829,True
Boutcher Church of England Primary School,/provider/21/100822,"93 Grange Road, Bermondsey, London, SE1 3BW",Primary,Outstanding,29 September 2022,100822,True
Albion Primary School,/provider/21/100774,"Albion Street, Rotherhithe, London, SE16 7JD",Primary,Good,19 March 2024,100774,False
Southwark Park Primary School,/provider/21/100812,"383 Southwark Park Road, Bermondsey, Southwark, London, SE16 2JH",Primary,Good,28 November 2023,100812,False
Peter Hills with St Mary's and St Paul's CofE Primary School,/provider/21/100837,"2 Beatson Walk, Rotherhithe, London, SE16 5ED",Primary,Good,08 November 2022,100837,True
St Joseph's Catholic Primary School,/provider/21/100833,"Gomm Road, Lower Road, Rotherhithe, London, SE16 2TY",Primary,Outstanding,10 May 2024,100833,True
Cayley Primary School,/provider/21/100894,"Aston Street, Stepney, London, E14 7NG",Primary,Good,13 January 2023,100894,False
"Spa School, Bermondsey",/provider/25/146190,"Monnow Road, London, SE1 5RN",Special School,Good,13 July 2024,146190,False
Surrey Square Primary School,/provider/21/146117,"Surrey Square, Walworth, London, SE17 2JY",Primary,,27 June 2022,146117,False
Galleywall Primary School,/provider/21/142875,"Galleywall Primary, Galleywall Road, London, SE16 3PB",Primary,Outstanding,09 December 2020,142875,False
Alfred Salter Primary School,/provider/21/100819,"Quebec Way, Rotherhithe, London, SE16 7LP",Primary,Good,12 March 2019,100819,False
Cavendish School,/provider/27/131237,"Lady Gomm House, 58 Hawkstone Road, London, SE16 2PA",Independent School,Good,13 May 2024,131237,False
Phoenix Primary School,/provider/21/100817,"Marlborough Grove, London, SE1 5JT",Primary,Outstanding,09 July 2015,100817,False
St John's Roman Catholic Primary School,/provider/21/100841,"St Elmo's Road, London, SE16 6SD",Primary,Good,02 December 2019,100841,True
Rotherhithe Primary School,/provider/21/149605,"61 Hawkstone Road, London, SE16 2PE",Primary,,05 October 2023,149605,False
Stephen Hawking School,/provider/25/131023,"Brunton Place, London, E14 7LL",Special School,Outstanding,04 November 2019,131023,False
